# sec glat glon
654 78.57619 14.51592
655 78.59102 14.51440
656 78.60585 14.51289
657 78.62068 14.51140
658 78.63552 14.50990
659 78.65036 14.50842
660 78.66520 14.50694
661 78.68005 14.50547
662 78.69490 14.50401
663 78.70975 14.50256
664 78.72461 14.50111
665 78.73947 14.49967
666 78.75433 14.49824
667 78.76919 14.49682
668 78.78406 14.49540
669 78.79893 14.49400
670 78.81381 14.49260
671 78.82869 14.49121
672 78.84357 14.48982
673 78.85845 14.48845
674 78.87334 14.48708
675 78.88823 14.48572
676 78.90313 14.48437
677 78.91803 14.48302
678 78.93293 14.48169
679 78.94784 14.48036
680 78.96275 14.47904
681 78.97766 14.47773
682 78.99258 14.47643
683 79.00750 14.47514
684 79.02242 14.47385
685 79.03735 14.47258
686 79.05228 14.47131
687 79.06722 14.47005
688 79.08216 14.46880
689 79.09710 14.46756
690 79.11205 14.46632
691 79.12700 14.46510
692 79.14195 14.46389
693 79.15691 14.46268
694 79.17188 14.46148
695 79.18684 14.46029
696 79.20182 14.45911
697 79.21679 14.45794
698 79.23177 14.45678
699 79.24676 14.45563
700 79.26174 14.45448
701 79.27674 14.45335
702 79.29173 14.45223
703 79.30673 14.45111
704 79.32174 14.45000
705 79.33675 14.44891
706 79.35176 14.44782
707 79.36678 14.44674
708 79.38181 14.44568
709 79.39683 14.44462
710 79.41187 14.44357
711 79.42690 14.44253
712 79.44194 14.44150
713 79.45699 14.44048
714 79.47204 14.43947
715 79.48710 14.43847
716 79.50216 14.43748
717 79.51722 14.43650
718 79.53229 14.43554
719 79.54737 14.43458
720 79.56245 14.43363
721 79.57753 14.43269
722 79.59262 14.43176
723 79.60771 14.43084
724 79.62281 14.42994
725 79.63792 14.42904
726 79.65303 14.42816
727 79.66814 14.42728
728 79.68326 14.42642
729 79.69839 14.42556
730 79.71352 14.42472
731 79.72865 14.42389
732 79.74379 14.42307
733 79.75894 14.42226
734 79.77409 14.42146
735 79.78925 14.42067
736 79.80441 14.41989
737 79.81958 14.41913
738 79.83475 14.41837
739 79.84993 14.41763
740 79.86511 14.41690
741 79.88030 14.41618
742 79.89550 14.41547
743 79.91070 14.41477
744 79.92590 14.41409
745 79.94111 14.41341
746 79.95633 14.41275
747 79.97156 14.41210
748 79.98679 14.41146
749 80.00202 14.41084
750 80.01726 14.41023
751 80.03251 14.40962
752 80.04776 14.40904
753 80.06302 14.40846
754 80.07829 14.40789
755 80.09356 14.40734
756 80.10883 14.40680
757 80.12412 14.40628
758 80.13941 14.40576
759 80.15470 14.40526
760 80.17000 14.40477
761 80.18531 14.40430
762 80.20063 14.40384
763 80.21595 14.40339
764 80.23127 14.40295
765 80.24661 14.40253
766 80.26195 14.40212
767 80.27729 14.40172
768 80.29265 14.40134
769 80.30801 14.40097
770 80.32337 14.40061
771 80.33875 14.40027
772 80.35412 14.39994
773 80.36951 14.39963
774 80.38490 14.39933
775 80.40030 14.39904
776 80.41571 14.39877
777 80.43112 14.39851
778 80.44654 14.39827
779 80.46197 14.39804
780 80.47740 14.39782
781 80.49284 14.39762
782 80.50829 14.39743
783 80.52375 14.39726
784 80.53921 14.39711
785 80.55468 14.39697
786 80.57015 14.39684
787 80.58564 14.39673
788 80.60113 14.39663
789 80.61662 14.39655
790 80.63213 14.39649
791 80.64764 14.39644
792 80.66316 14.39640
793 80.67869 14.39638
794 80.69422 14.39638
795 80.70977 14.39639
796 80.72532 14.39642
797 80.74087 14.39647
798 80.75644 14.39653
799 80.77201 14.39661
800 80.78759 14.39670
801 80.80318 14.39681
802 80.81878 14.39694
803 80.83438 14.39708
804 80.84999 14.39724
805 80.86561 14.39742
806 80.88124 14.39761
807 80.89687 14.39782
808 80.91252 14.39805
809 80.92817 14.39830
810 80.94383 14.39856
811 80.95949 14.39884
812 80.97517 14.39914
813 80.99085 14.39946
814 81.00655 14.39979
