# sec glat glon
417 75.51400 14.72574
418 75.53144 14.72190
419 75.54888 14.71805
420 75.56632 14.71420
421 75.58376 14.71036
422 75.60120 14.70651
423 75.61864 14.70267
424 75.63608 14.69883
425 75.65352 14.69498
426 75.67096 14.69114
427 75.68840 14.68730
428 75.70584 14.68346
429 75.72327 14.67962
430 75.74071 14.67578
431 75.75815 14.67194
432 75.77559 14.66811
433 75.79303 14.66427
434 75.81047 14.66043
435 75.82791 14.65660
436 75.84535 14.65276
437 75.86279 14.64893
438 75.88023 14.64510
439 75.89767 14.64127
440 75.91511 14.63743
441 75.93255 14.63360
442 75.94999 14.62977
443 75.96743 14.62594
444 75.98487 14.62212
445 76.00232 14.61829
446 76.01976 14.61446
447 76.03720 14.61064
448 76.05465 14.60681
449 76.07210 14.60299
450 76.08954 14.59916
451 76.10699 14.59534
452 76.12444 14.59152
453 76.14189 14.58770
454 76.15934 14.58388
455 76.17679 14.58006
456 76.19424 14.57624
457 76.21169 14.57242
458 76.22915 14.56860
459 76.24660 14.56479
460 76.26406 14.56097
461 76.28151 14.55716
462 76.29897 14.55334
463 76.31643 14.54953
464 76.33389 14.54572
465 76.35136 14.54191
466 76.36882 14.53810
467 76.38629 14.53429
468 76.40375 14.53048
469 76.42122 14.52667
470 76.43869 14.52286
471 76.45616 14.51906
472 76.47364 14.51525
473 76.49111 14.51145
474 76.50859 14.50765
475 76.52606 14.50384
476 76.54354 14.50004
477 76.56103 14.49624
478 76.57851 14.49244
479 76.59600 14.48864
480 76.61348 14.48485
481 76.63097 14.48105
482 76.64846 14.47725
483 76.66596 14.47346
484 76.68345 14.46966
485 76.70095 14.46587
486 76.71845 14.46208
487 76.73595 14.45829
488 76.75346 14.45450
489 76.77097 14.45071
490 76.78847 14.44692
491 76.80599 14.44313
492 76.82350 14.43934
493 76.84102 14.43556
494 76.85854 14.43177
495 76.87606 14.42799
496 76.89358 14.42421
497 76.91111 14.42042
498 76.92864 14.41664
499 76.94617 14.41286
500 76.96370 14.40909
501 76.98124 14.40531
502 76.99878 14.40153
503 77.01633 14.39776
504 77.03387 14.39398
505 77.05142 14.39021
506 77.06897 14.38643
507 77.08653 14.38266
508 77.10409 14.37889
509 77.12165 14.37512
510 77.13921 14.37136
511 77.15678 14.36759
512 77.17435 14.36382
513 77.19193 14.36006
514 77.20950 14.35629
